organism,read_counts,method
bsubtilis,901704.00,minimap2
cneoformans,116935.00,minimap2
ecoli,531245.00,minimap2
efaecalis,649559.00,minimap2
lfermentum,777255.00,minimap2
lmonocytogenes,738425.00,minimap2
paeruginosa,344018.00,minimap2
saureus,702244.00,minimap2
scerevisiae,107738.00,minimap2
senterica,532158.00,minimap2
bsubtilis,636000.00,kraken2
cneoformans,0,kraken2
ecoli,187000.00,kraken2
efaecalis,392000.00,kraken2
lfermentum,514000.00,kraken2
lmonocytogenes,471000.00,kraken2
paeruginosa,184000.00,kraken2
saureus,399000.00,kraken2
scerevisiae,0.00,kraken2
senterica,214000.00,kraken2
